fillcolor,Cadena,Identificador,Tienda,Trato amable,Rapidez,Atención en cajas,Ofertas y precios,Surtido y existencias,Orden y Limpieza,Calificación Total,Seguridad Industrial,Latitud,Longitud,Estado,Municipio
red,Zorro Abarrotero,ZTL,Zorro Toltecas,62.5,75.7575757575758,100,25,100,21.4285714285714,66,54,19.5446547,-99.1891876,Edo. Mex.,Tlalnepantla de Baz
blue,Scorpion,STL,Scorpion Toltecas,62.5,100,90.9090909090909,50,100,64.2857142857143,81,64,19.545868,-99.18855,Edo. Mex.,Tlalnepantla de Baz
red,Zorro Abarrotero,ZRL,Zorro Roldán,29.1666666666667,84.8484848484848,72.7272727272727,75,50,57.1428571428571,62,100,19.4305276,-99.1272414,Cd. Mx.,Cuauhtémoc
blue,Scorpion,SMI,Scorpion Misterios,58.3333333333333,81.8181818181818,90.9090909090909,25,50,50,65,82,19.459851,-99.127109,Cd. Mx.,Cuauhtémoc
blue,Scorpion,SEM,Scorpion Eduardo Molina,75,93.9393939393939,27.2727272727273,62.5,100,92.8571428571429,80,56,19.46842,-99.102119,Cd. Mx.,Gustavo A. Madero
red,Zorro Abarrotero,ZLG,Zorro Lago de Guadalupe,50,81.8181818181818,45.4545454545455,100,50,92.8571428571429,70,70,19.5804856,-99.2253721,Edo. Mex.,Atizapán de Zaragoza
red,Zorro Abarrotero,ZAR,Zorro Las Armas,45.8333333333333,87.8787878787879,90.9090909090909,100,100,71.4285714285714,78,72,19.484624,-99.2182439,,
red,Zorro Abarrotero,ZTM,Zorro Tecámac 2,70.8333333333333,100,100,87.5,50,92.8571428571429,88,100,19.6468493,-99.0045061,Edo. Mex.,Ecatepec de Morelos
red,Zorro Abarrotero,ZTC,Zorro Tecámac ,87.5,100,73,100,100,78,91,72,19.6447269,-99.0048228,Edo. Mex.,Ecatepec de Morelos
blue,Scorpion,STC,Scorpion Tecámac,75,100,100,87.5,100,78.5714285714286,90,54,19.6338008,-99.035235,Edo. Mex.,Héroes de Tecámac
